"Taxa","MPA","Source","Model_Type","N_Obs","Uniformity_p","Dispersion_p","Outlier_p","Shapiro_p","Hetero_Cor","R_Squared","Pass_All","Notes"
"M. franciscanus","Naples SMCA","LTER","Step",23,0.5842,0.96,1,0.0913,0.072,0.301,TRUE,"OK"
"M. pyrifera","Naples SMCA","LTER","Linear",23,0.7102,0.912,0.1681,0.1904,0.095,0.355,TRUE,"OK"
"M. pyrifera","Campus Point SMCA","LTER","Linear",23,0.9882,0.912,1,0.9451,-0.349,0.351,TRUE,"OK"
"S. pulcher","Campus Point SMCA","LTER","Linear",22,0.9236,0.992,1,0.3698,0.002,0.029,TRUE,"OK"
"S. pulcher","Campus Point SMCA","LTER","Linear",22,0.6724,0.992,1,0.1656,-0.023,0.086,TRUE,"OK"
"P. interruptus","Campus Point SMCA","LTER","Linear",12,0.8685,0.904,1,0.1869,-0.247,0.358,TRUE,"OK"
"M. franciscanus","Abalone Cove SMCA","PISCO","CI_Linear",13,0.8506,0.88,1,0.2422,-0.453,0.814,TRUE,"OK"
"M. franciscanus","Anacapa Island SMR 2003","PISCO","CI_Linear",16,0.6522,0.944,1,0.1392,-0.308,0.618,TRUE,"OK"
"M. franciscanus","Campus Point SMCA","PISCO","CI_Linear",14,0.9962,0.968,1,0.6124,-0.146,0.401,TRUE,"OK"
"M. franciscanus","Gull Island SMR","PISCO","CI_Linear",16,0.7067,0.944,1,0.1928,-0.131,0.301,TRUE,"OK"
"M. franciscanus","Harris Point SMR","PISCO","CI_Linear",17,0.9857,0.96,1,0.6341,0.617,0.112,FALSE,"heteroscedastic"
"M. franciscanus","Matlahuayl SMR","PISCO","CI_Linear",7,0.9167,0.768,1,0.1359,0.401,0.876,TRUE,"OK"
"M. franciscanus","Naples SMCA","PISCO","CI_Linear",14,0.9076,0.968,1,0.7987,0.415,0.005,TRUE,"OK"
"M. franciscanus","Point Vicente SMCA","PISCO","CI_Linear",15,0.7734,0.888,1,0.2069,-0.298,0.037,TRUE,"OK"
"M. franciscanus","Scorpion SMR","PISCO","CI_Linear",20,0.8195,0.96,1,0.8897,0.305,0.319,TRUE,"OK"
"M. franciscanus","South Point SMR","PISCO","CI_Linear",16,0.8138,0.944,1,0.3744,-0.091,0.137,TRUE,"OK"
"M. franciscanus","Abalone Cove SMCA","PISCO","CI_Linear",13,0.9312,0.88,1,0.4012,-0.37,0.494,TRUE,"OK"
"M. franciscanus","Campus Point SMCA","PISCO","CI_Linear",12,0.9412,0.904,1,0.7948,-0.544,0.083,FALSE,"heteroscedastic"
"M. franciscanus","Gull Island SMR","PISCO","CI_Linear",15,0.949,0.888,1,0.7014,-0.227,0.176,TRUE,"OK"
"M. franciscanus","Harris Point SMR","PISCO","CI_Linear",15,0.9356,0.888,1,0.318,0.544,0.177,FALSE,"heteroscedastic"
"M. franciscanus","Naples SMCA","PISCO","CI_Linear",13,0.9601,0.88,1,0.2598,-0.551,0.001,FALSE,"heteroscedastic"
"M. franciscanus","Point Vicente SMCA","PISCO","CI_Linear",14,0.8084,0.968,1,0.0488,0.187,0.157,FALSE,"non-normal"
"M. franciscanus","Scorpion SMR","PISCO","CI_Linear",18,0.6137,0.976,1,0.1449,-0.123,0.003,TRUE,"OK"
"M. franciscanus","South Point SMR","PISCO","CI_Linear",14,0.4935,0.968,1,0.1155,-0.155,0.013,TRUE,"OK"
"S. purpuratus","Abalone Cove SMCA","PISCO","CI_Linear",13,0.846,0.88,1,0.9062,-0.302,0.338,TRUE,"OK"
"S. purpuratus","Anacapa Island SMR 2003","PISCO","CI_Linear",16,0.9712,0.944,1,0.7807,-0.262,0.684,TRUE,"OK"
"S. purpuratus","Campus Point SMCA","PISCO","CI_Linear",14,0.2387,0.968,1,0.035,0.084,0.687,FALSE,"non-normal"
"S. purpuratus","Gull Island SMR","PISCO","CI_Linear",16,0.6488,0.944,1,0.2581,0.451,0.493,TRUE,"OK"
"S. purpuratus","Harris Point SMR","PISCO","CI_Linear",17,0.7764,0.96,1,0.3731,-0.298,0.041,TRUE,"OK"
"S. purpuratus","Matlahuayl SMR","PISCO","CI_Linear",7,0.7656,0.768,1,0.3724,-0.128,0.86,TRUE,"OK"
"S. purpuratus","Naples SMCA","PISCO","CI_Linear",14,0.8336,0.968,1,0.7862,0.197,0.164,TRUE,"OK"
"S. purpuratus","Point Vicente SMCA","PISCO","CI_Linear",15,0.5137,0.888,1,0.1159,0.265,0.018,TRUE,"OK"
"S. purpuratus","Scorpion SMR","PISCO","CI_Linear",20,0.9716,0.96,1,0.8572,0.499,0.521,TRUE,"OK"
"S. purpuratus","South Point SMR","PISCO","CI_Linear",16,0.5803,0.944,1,0.3979,-0.008,0.479,TRUE,"OK"
"S. purpuratus","Abalone Cove SMCA","PISCO","CI_Linear",13,0.4407,0.88,1,0.1437,-0.102,0.2,TRUE,"OK"
