"MPA","lat","Lon","mhw_during","cs_mean","log_size","Hectares","wave_hs","nitrate","gravity","log_gravity"
"Abalone Cove SMCA",33.7392,-118.3857,401.319432576497,38.0369234427428,7.12423729545998,1241.700755,1.859,0.644,16009.1,9.68097505206744
"Anacapa Island SMR 2003",34.008,-119.3983,442.194295247396,39.91058729295,NA,NA,1.213,1.139,574,6.35437004079735
"Blue Cavern Onshore SMCA",33.4466,-118.4764,412.42919921875,32.6812741985614,6.51776487222449,677.0633697,0.649,0.481,518.9,6.25363648538967
"Cabrillo SMR",32.6628,-117.2464,522.078867594401,33.1138075856918,NA,NA,2.625,0.423,10635.3,9.27202795805764
"Campus Point SMCA",34.4049,-119.8651,396.159540812174,43.5683951036111,7.91386238037353,2734.933446,1.311,1.705,22018.7,9.99969278620566
"Farnsworth Onshore SMCA",33.3339,-118.473,412.42919921875,32.6812741985614,6.50859790174545,670.885111,1.842,0.453,77.4,4.36182392735636
"Gull Island SMR",33.9562,-119.8234,396.324798583984,35.3629584520389,8.54913764572561,5162.300775,1.302,1.517,1.2,0.78845736036427
"Harris Point SMR",34.053,-120.3424,360.789123535156,35.6324867471548,8.79146700178846,6577.874855,2.31,2.902,0,0
"Long Point SMR",33.24,-118.21,417.681172688802,33.3573075964512,6.06928713483032,432.3723485,0.968,0.428,259,5.56068163101553
"Matlahuayl SMR",32.85167,-117.2783,501.422627766927,34.3088821715917,5.59264905856818,268.4458073,2.888,0.387,15576.9,9.65360852215001
"Naples SMCA",34.4321,-119.9514,396.159540812174,43.5683951036111,6.51293793529548,673.8031024,1.569,1.824,1246,7.12849594568004
"Point Dume SMCA",34.0344,-118.872,NA,36.9036181208684,NA,NA,1.627,0.854,3334.3,8.1123179093265
"Point Dume SMR",34.0079,-118.7917,NA,36.9036181208684,NA,NA,1.239,0.801,5764.8,8.65969919150589
"Point Vicente SMCA",33.7403,-118.4087,401.319432576497,38.0369234427428,8.26784402120716,3896.539074,1.992,0.651,17848.2,9.78971396827626
"Santa Barbara Island SMR",33.4658,-119.0306,425.798578898112,32.9529899959466,8.10386356469334,3307.221086,2.111,0.665,0,0
"Scorpion SMR",34.05428,-119.5669,425.546478271484,38.486922700344,7.82233328658107,2495.721854,1.308,1.313,351.7,5.86561783724201
"Skunk Pt SMR",33.9588,-119.9733,396.324798583984,35.3629584520389,NA,NA,1.416,1.865,0.5,0.405465108108164
"South Point SMR",33.9022,-120.1391,374.585639953613,36.1334740987924,8.12770238396308,3387.008573,2.075,2.224,0,0
"Swamis SMCA",33.0212,-117.2936,470.002705891927,36.0473897631523,8.09905447392171,3291.354542,2.269,0.393,13559.4,9.51490905958439
