"Metric","Value"
"Total unique MPAs analyzed","21"
"Total MPA x taxa x response combinations (effect sizes)","144"
"Effect sizes - Biomass","78"
"Effect sizes - Density","66"
"Unique taxa","5"
"Data sources","KFM, LTER, PISCO, Landsat"
"MPAs from PISCO","15"
"MPAs from KFM","6"
"MPAs from LTER","2"
"MPAs from Landsat","16"
"Effect sizes from before-after analysis (pBACIPS)","36"
"Effect sizes from control-impact only (CI)","108"
"Channel Islands MPAs","11"
"Mainland MPAs","10"
"SMR (State Marine Reserve) MPAs","13"
"SMCA (State Marine Conservation Area) MPAs","8"
"Earliest year in dataset","1982"
"Latest year in dataset","2023"
"MPA implementation years","2003, 2012"
"--- DATA EXCLUSIONS ---",""
"Excluded KFM sites (short/non-paired time series)","a-k-21, a-k-05, a-k-07, a-k-26, a-k-27, a-k-28, a-k-29, a-k-30, a-k-36, a-k-37, a-k-12, a-k-13, a-k-31, a-k-35"
"Excluded reference sites (habitat/sampling issues)","ANACAPA_BLACK_SEA_BASS, SMI_BAY_POINT, SCAI_SHIP_ROCK, SMI_CROOK_POINT_E, SMI_CROOK_POINT_W, SBI_SUTIL, SCI_YELLOWBANKS_CEN, SCI_YELLOWBANKS_W, SRI_FORD_POINT, SMI_PRINCE_ISLAND_CEN, SMI_PRINCE_ISLAND_N, SMI_HARE_ROCK, SMI_TYLER_BIGHT_E, SMI_TYLER_BIGHT_W, SBI_GRAVEYARD_CANYON, SBI_GRAVEYARD_CANYON_N"
"Sheephead-only MPAs (excluded from cross-taxa, included for S. pulcher)","Blue Cavern Onshore SMCA, Painted Cave SMCA, Dana Point SMCA, Farnsworth Onshore SMCA, Point Dume SMR, Cat Harbor SMCA, Swamis SMCA, Anacapa Island SMCA, Long Point SMR, Point Dume SMCA, Santa Barbara Island SMR"
"Excluded MPAs (fishing allowed or data quality)","Arrow Point to Lion Head Point SMCA, Crystal Cove SMCA, Laguna Beach SMR, Vandenberg SMR, Point Conception SMR, Anacapa Island SMR 1978, Painted Cave SMCA, Anacapa Island SMCA, San Miguel Island SC, Judith Rk SMR"
"BACI-type analyses excluded (linear before period)","See filter_audit_effect_sizes.csv for details"
"Non-primary model selections excluded","See filter_audit_effect_sizes.csv for details"
